class,kind,usa_addr,enclosing_func,func_name,note
SUSPECT,getFrameCtrl+stfs,0x801177ec,0x80117780,,raw rate <- constant 97.5 (4x fast at 120fps)  [r2-0x52c0=0x804118c0]
SUSPECT,getFrameCtrl+stfs,0x8011f9b8,0x8011f798,,raw rate <- constant 0.0942478 (4x fast at 120fps)  [r2-0x521c=0x80411964]
SUSPECT,getFrameCtrl+stfs,0x8012c0ac,0x8012bfd0,,raw rate <- constant 0.05 (4x fast at 120fps)  [r2-0x5010=0x80411b70]
SUSPECT,getFrameCtrl+stfs,0x8012d034,0x8012cffc,,raw rate <- constant 4.23226e+21 (4x fast at 120fps)  [r2-0x501c=0x80411b64]
SUSPECT,getFrameCtrl+stfs,0x8013c6cc,0x8013c664,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x4d90=0x80411df0]
SUSPECT,getFrameCtrl+stfs,0x8013c980,0x8013c91c,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x4d90=0x80411df0]
SUSPECT,getFrameCtrl+stfs,0x801b07c4,0x801b0738,,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
SUSPECT,getFrameCtrl+stfs,0x801b07dc,0x801b0738,,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
SUSPECT,getFrameCtrl+stfs,0x801b0ac8,0x801b09d4,,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
SUSPECT,getFrameCtrl+stfs,0x801b0ae0,0x801b09d4,,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
SUSPECT,getFrameCtrl+stfs,0x801b0c58,0x801b0bf8,,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
SUSPECT,getFrameCtrl+stfs,0x801bc0b0,0x801bbef0,,raw rate <- constant 0.06 (4x fast at 120fps)  [r2-0x2bd0=0x80413fb0]
SUSPECT,getFrameCtrl+stfs,0x801bc0e0,0x801bbef0,,raw rate <- constant 1.14303e+33 (4x fast at 120fps)  [r2-0x2bc0=0x80413fc0]
SUSPECT,getFrameCtrl+stfs,0x801bc0f8,0x801bbef0,,raw rate <- constant 9.44473e+21 (4x fast at 120fps)  [r2-0x2bbc=0x80413fc4]
SUSPECT,getFrameCtrl+stfs,0x801bc110,0x801bbef0,,raw rate <- constant 0.02 (4x fast at 120fps)  [r2-0x2bb8=0x80413fc8]
SUSPECT,getFrameCtrl+stfs,0x801bc234,0x801bc12c,,raw rate <- constant 0.06 (4x fast at 120fps)  [r2-0x2bd0=0x80413fb0]
SUSPECT,getFrameCtrl+stfs,0x801bc264,0x801bc12c,,raw rate <- constant 1.14303e+33 (4x fast at 120fps)  [r2-0x2bc0=0x80413fc0]
SUSPECT,getFrameCtrl+stfs,0x801bc27c,0x801bc12c,,raw rate <- constant 9.44473e+21 (4x fast at 120fps)  [r2-0x2bbc=0x80413fc4]
SUSPECT,getFrameCtrl+stfs,0x801bc294,0x801bc12c,,raw rate <- constant 0.02 (4x fast at 120fps)  [r2-0x2bb8=0x80413fc8]
SUSPECT,getFrameCtrl+stfs,0x801bc31c,0x801bc12c,,raw rate <- constant 0.06 (4x fast at 120fps)  [r2-0x2bd0=0x80413fb0]
SUSPECT,getFrameCtrl+stfs,0x801bc34c,0x801bc12c,,raw rate <- constant 1.14303e+33 (4x fast at 120fps)  [r2-0x2bc0=0x80413fc0]
SUSPECT,getFrameCtrl+stfs,0x801bc364,0x801bc12c,,raw rate <- constant 9.44473e+21 (4x fast at 120fps)  [r2-0x2bbc=0x80413fc4]
SUSPECT,getFrameCtrl+stfs,0x801bc37c,0x801bc12c,,raw rate <- constant 0.02 (4x fast at 120fps)  [r2-0x2bb8=0x80413fc8]
SUSPECT,getFrameCtrl+stfs,0x801bc654,0x801bc5a8,,raw rate <- constant 0.06 (4x fast at 120fps)  [r2-0x2bd0=0x80413fb0]
SUSPECT,getFrameCtrl+stfs,0x801bc684,0x801bc5a8,,raw rate <- constant 1.14303e+33 (4x fast at 120fps)  [r2-0x2bc0=0x80413fc0]
SUSPECT,getFrameCtrl+stfs,0x801bc69c,0x801bc5a8,,raw rate <- constant 9.44473e+21 (4x fast at 120fps)  [r2-0x2bbc=0x80413fc4]
SUSPECT,getFrameCtrl+stfs,0x801bc6b4,0x801bc5a8,,raw rate <- constant 0.02 (4x fast at 120fps)  [r2-0x2bb8=0x80413fc8]
SUSPECT,getFrameCtrl+stfs,0x801bc920,0x801bc898,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2bb0=0x80413fd0]
SUSPECT,getFrameCtrl+stfs,0x801bc9d4,0x801bc898,,raw rate <- constant 30 (4x fast at 120fps)  [r2-0x2ba8=0x80413fd8]
SUSPECT,getFrameCtrl+stfs,0x801c1be8,0x801c1bc0,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2b20=0x80414060]
SUSPECT,getFrameCtrl+stfs,0x801cd4e8,0x801cd40c,,raw rate <- constant 400 (4x fast at 120fps)  [r2-0x28d0=0x804142b0]
SUSPECT,getFrameCtrl+stfs,0x801d97b4,0x801d9734,,raw rate <- constant -180 (4x fast at 120fps)  [r2-0x267c=0x80414504]
SUSPECT,getFrameCtrl+stfs,0x801ec224,0x801ec048,,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2294=0x804148ec]
SUSPECT,setFrameRate,0x801edd68,0x801edd00,,raw rate <- constant 0.1 (4x fast at 120fps)  [r2-0x2220=0x80414960]
SUSPECT,getFrameCtrl+stfs,0x801edd7c,0x801edd00,,raw rate <- constant 0.1 (4x fast at 120fps)  [r2-0x2220=0x80414960]
SUSPECT,setFrameRate,0x801eddc4,0x801edd00,,raw rate <- constant 0.1 (4x fast at 120fps)  [r2-0x2220=0x80414960]
SUSPECT,getFrameCtrl+stfs,0x801eddd8,0x801edd00,,raw rate <- constant 0.1 (4x fast at 120fps)  [r2-0x2220=0x80414960]
SUSPECT,getFrameCtrl+stfs,0x801fbc5c,0x801fb988,,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x1fb8=0x80414bc8]
SUSPECT,getFrameCtrl+stfs,0x802018d4,0x80201840,,raw rate <- constant 45 (4x fast at 120fps)  [r2-0x1dc0=0x80414dc0]
SUSPECT,getFrameCtrl+stfs,0x80201980,0x80201840,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x1dd0=0x80414db0]
SUSPECT,getFrameCtrl+stfs,0x80201b54,0x80201840,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x1dd0=0x80414db0]
SUSPECT,getFrameCtrl+stfs,0x80201bdc,0x80201840,,raw rate <- constant 45 (4x fast at 120fps)  [r2-0x1dc0=0x80414dc0]
