class,kind,call,file,line,enclosing,jp_sym,jp_addr,jp_size,reason,code
CLEAN,setter,setRate,Enemy/Kumokun.cpp,626,TKumokun::changeBck,changeBck__8TKumokunFPCc,0x803312b4,0x108,flows through SMSGetAnmFrameRate,mMActor->getFrameCtrl(0)->setRate(SMSGetAnmFrameRate() * 0.5f * fVar1);
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/Kumokun.cpp,626,TKumokun::changeBck,changeBck__8TKumokunFPCc,0x803312b4,0x108,feeds rate setter (playback),mMActor->getFrameCtrl(0)->setRate(SMSGetAnmFrameRate() * 0.5f * fVar1);
CLEAN,setter,setRate,Enemy/bgtentacle.cpp,755,TBGTentacle::setAttackTarget,setAttackTarget__11TBGTentacleFv,0x80313eac,0x46c,flows through SMSGetAnmFrameRate,ctrl->setRate(mOwner->getAttackSpeed() * SMSGetAnmFrameRate());
CLEAN,setter,setFrameRate,Enemy/bossManta.cpp,279,lerp_hack,,,,flows through SMSGetAnmFrameRate,"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/bossManta.cpp,279,lerp_hack,,,,feeds rate setter (playback),"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,440,TBEelTears::receiveMessage,receiveMessage__10TBEelTearsFP9THitActorUl,0x802eb3bc,0x1fc,flows through SMSGetAnmFrameRate,"actor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,440,TBEelTears::receiveMessage,receiveMessage__10TBEelTearsFP9THitActorUl,0x802eb3bc,0x1fc,feeds rate setter (playback),"actor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,545,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,flows through SMSGetAnmFrameRate,"actor->setFrameRate(-frameRate * SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,550,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,flows through SMSGetAnmFrameRate,"actor->setFrameRate(frameRate * SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,602,TBEelTears::getBasNameTable,getBasNameTable__10TBEelTearsCFv,0x802eb298,0xc,flows through SMSGetAnmFrameRate,"actor->setFrameRate(frameRate * SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,777,TBossEelTooth,,,,pause (0),"mSharedParts->getMActor()->setFrameRate(0.0f, 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,808,TBossEelTooth::receiveMessage,receiveMessage__13TBossEelToothFP9THitActorUl,0x802e9194,0x354,flows through SMSGetAnmFrameRate,"actor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,808,TBossEelTooth::receiveMessage,receiveMessage__13TBossEelToothFP9THitActorUl,0x802e9194,0x354,feeds rate setter (playback),"actor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setFrameRate,Enemy/bosseel.cpp,892,TBossEelTooth::perform,perform__13TBossEelToothFUlPQ26JDrama9TGraphics,0x802e8b84,0x610,pause (0),"mSharedParts->getMActor()->setFrameRate(0.0f, 0);"
CLEAN,setter,setRate,Enemy/bosseel.cpp,1923,TBossEel::setBckAnm,setBckAnm__13TFireHamuKuriFi,0x80261928,0x20,flows through SMSGetAnmFrameRate,getMActor()->getFrameCtrl(0)->setRate(0.25f * SMSGetAnmFrameRate());
CLEAN,setter,setRate,Enemy/bossgesso.cpp,1556,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,pause (0),ctrl->setRate(0.0f);
CLEAN,setter,setRate,Enemy/bossgesso.cpp,1604,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,pause (0),ctrl3->setRate(0.0f);
CLEAN,setter,setRate,Enemy/bossgesso.cpp,1663,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,pause (0),ctrl4->setRate(0.0f);
CLEAN,setter,setRate,Enemy/bossgesso.cpp,1740,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,pause (0),ctrl3->setRate(0.0f);
CLEAN,setter,setRate,Enemy/bossgesso.cpp,1770,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,pause (0),ctrl3->setRate(0.0f);
CLEAN,setter,setRate,Enemy/enemyMario.cpp,204,TEnemyMario::initModel,initModel__11TEnemyMarioFv,0x80257c98,0x618,flows through SMSGetAnmFrameRate,frameCtrl[2].setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/enemyMario.cpp,204,TEnemyMario::initModel,initModel__11TEnemyMarioFv,0x80257c98,0x618,feeds rate setter (playback),frameCtrl[2].setRate(SMSGetAnmFrameRate());
CLEAN,setter,setRate,Enemy/enemyMario.cpp,217,TEnemyMario::initModel,initModel__11TEnemyMarioFv,0x80257c98,0x618,pause (0),modelMario->unkC[1].setRate(0.0f);
CLEAN,setter,setFrameRate,Enemy/enemyMario.cpp,885,TEnemyMario::emReplay,emReplay__11TEnemyMarioFv,0x80256068,0x234,flows through SMSGetAnmFrameRate,"stampActor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/enemyMario.cpp,885,TEnemyMario::emReplay,emReplay__11TEnemyMarioFv,0x80256068,0x234,feeds rate setter (playback),"stampActor->setFrameRate(SMSGetAnmFrameRate(), 0);"
CLEAN,setter,setRate,Enemy/fireWanwan.cpp,63,TLerpControl::init,init__10JUTGamePadFv,0x80011ba0,0x38,flows through SMSGetAnmFrameRate,unk18.setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/fireWanwan.cpp,63,TLerpControl::init,init__10JUTGamePadFv,0x80011ba0,0x38,feeds rate setter (playback),unk18.setRate(SMSGetAnmFrameRate());
CLEAN,setter,setFrameRate,Enemy/fireWanwan.cpp,1952,TFireWanwan::getBasNameTable,getBasNameTable__11TFireWanwanCFv,0x8029b024,0xc,pause (0),"self->getMActor()->setFrameRate(0.0f, 4);"
CLEAN,setter,setFrameRate,Enemy/fireWanwan.cpp,2025,TFireWanwan::getBasNameTable,getBasNameTable__11TFireWanwanCFv,0x8029b024,0xc,flows through SMSGetAnmFrameRate,"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/fireWanwan.cpp,2025,TFireWanwan::getBasNameTable,getBasNameTable__11TFireWanwanCFv,0x8029b024,0xc,feeds rate setter (playback),"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,setter,setFrameRate,Enemy/fireWanwan.cpp,2055,fromPolar,,,,flows through SMSGetAnmFrameRate,"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/fireWanwan.cpp,2055,fromPolar,,,,feeds rate setter (playback),"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,setter,setFrameRate,Enemy/fireWanwan.cpp,2091,fromPolar,,,,flows through SMSGetAnmFrameRate,"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/fireWanwan.cpp,2091,fromPolar,,,,feeds rate setter (playback),"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,setter,setFrameRate,Enemy/fireWanwan.cpp,2115,fromPolar,,,,flows through SMSGetAnmFrameRate,"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/fireWanwan.cpp,2115,fromPolar,,,,feeds rate setter (playback),"self->getMActor()->setFrameRate(SMSGetAnmFrameRate(), 4);"
CLEAN,setter,setRate,Enemy/gatekeeper.cpp,791,TBiancoGateKeeper::perform,perform__17TBiancoGateKeeperFUlPQ26JDrama9TGraphics,0x8030c5a4,0x354,pause (0),fc->setRate(0.0f);
CLEAN,setter,setRate,Enemy/gatekeeper.cpp,1029,TBiancoGateKeeper::perform,perform__17TBiancoGateKeeperFUlPQ26JDrama9TGraphics,0x8030c5a4,0x354,flows through SMSGetAnmFrameRate,fc->setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/gatekeeper.cpp,1029,TBiancoGateKeeper::perform,perform__17TBiancoGateKeeperFUlPQ26JDrama9TGraphics,0x8030c5a4,0x354,feeds rate setter (playback),fc->setRate(SMSGetAnmFrameRate());
